sensor,rm,NumDF,DenDF,F_value,Pr(>F),p_value,FDR
C3,geometry,1,206.41647,9.0726152,0.0029188,0.0029188,0.01382
C3,geometry:color,4,206.44837,1.3989605,0.1574081,0.1574081,0.99545185185
C4,geometry,1,206.89372,2.2977692,0.0602887,0.0602887,0.0424941176471
C4,geometry:color,4,206.76151,8.1214535,0.0046845,0.0046845,0.99545185185
CP1,geometry,1,206.52323,8.953539,0.0031944,0.0031944,0.0133
CP1,geometry:color,4,206.82861,2.3339208,0.056871,0.056871,0.99545185185
CP2,geometry,1,203.95702,0.3307307,0.8571032,0.8571032,0.99545185185
CP2,geometry:color,4,204.53816,2.2816336,0.061793,0.061793,0.18237333333
CP5,geometry,1,207.15948,1.8810143,0.1717023,0.1717023,0.19264
CP5,geometry:color,4,207.84478,1.7595224,0.1385026,0.1385026,0.99545185185
CP6,geometry,1,205.50667,2.7751347,0.0280225,0.0280225,0.18237333333
CP6,geometry:color,4,203.87199,1.4660145,0.0425312,0.0425312,0.018636666666
Cz,geometry,1,205.13254,7.3924729,0.0063387,0.0063387,0.01036
Cz,geometry:color,4,205.19585,0.3784009,0.8239144,0.8239144,0.99545185185
F3,geometry,1,203.67598,1.9210843,0.1672527,0.1672527,0.99545185185
F3,geometry:color,4,203.17018,1.1573761,0.3308476,0.3308476,0.18237333333
F4,geometry,1,205.661,0.3581675,0.673727,0.673727,0.1412727272727
F4,geometry:color,4,203.05199,5.0960121,0.0250451,0.0250451,0.99545185185
F7,geometry,1,201.11248,8.72493,0.0035129,0.0035129,0.01404
F7,geometry:color,4,201.12468,0.9553541,0.4331366,0.4331366,0.99545185185
F8,geometry,1,203.06201,0.2600772,0.903246,0.903246,0.01445
F8,geometry:color,4,203.16117,0.3977785,0.4152362,0.4152362,0.999215185185
FC1,geometry,1,205.32961,11.081693,0.0010393,0.0010393,0.01036
FC1,geometry:color,4,205.38574,0.1309113,0.8432104,0.8432104,0.99545185185
FC2,geometry,1,205.06621,5.1418423,0.0243982,0.0243982,0.01036
FC2,geometry:color,4,205.13791,0.5397387,0.7067056,0.7067056,0.99545185185
FC5,geometry,1,205.247,0.172163,0.6786299,0.6786299,0.6786
FC5,geometry:color,4,205.26275,0.1365868,0.9598524,0.9598524,0.99545185185
FC6,geometry,1,206.39242,0.9499991,0.0011096,0.0011096,0.99545185185
FC6,geometry:color,4,206.73556,0.4729556,0.7555592,0.7555592,0.7442
Fp1,geometry,1,204.26608,6.9585589,0.0089412,0.0089412,0.019341553484
Fp1,geometry:color,4,204.47099,0.9974178,0.4100139,0.4100139,0.484166666666
Fp2,geometry,1,204.03934,5.0453205,0.0257641,0.0257641,0.0158666666666
Fp2,geometry:color,4,204.05775,0.5042116,0.7326782,0.7326782,0.18237333333
Fz,geometry,1,205.355,5.6678602,0.0181564,0.0181564,0.9954518518
Fz,geometry:color,4,204.60128,1.0714235,0.8729911,0.8729911,0.999545185185
O1,geometry,1,205.6925,3.9000009,0.0493644,0.0493644,0.06916
O1,geometry:color,4,206.64856,0.3654276,0.8330688,0.8330688,0.99545185185
O2,geometry,1,205.93561,0.2083166,0.9336109,0.9336109,0.23326153846
O2,geometry:color,4,204.41056,1.9873568,0.0977557,0.0977557,0.18237333333
Oz,geometry,1,206.00295,2.3640241,0.0524237,0.0524237,0.15856943478
Oz,geometry:color,4,205.88676,2.3050603,0.130156,0.130156,0.99545185185
P3,geometry,1,206.54517,7.8041866,0.0057027,0.0057027,0.01588666666
P3,geometry:color,4,206.99948,3.2464201,0.0130903,0.0130903,0.18237333333
P4,geometry,1,204.733,1.5361961,0.2166037,0.2166037,0.124666666666
P4,geometry:color,4,205.47705,2.0601333,0.0873155,0.0873155,0.99545185185
P7,geometry,1,205.56409,9.1242885,0.0028423,0.0028423,0.9967
P7,geometry:color,4,205.89198,2.0311309,0.0913292,0.0913292,0.018636666666
P8,geometry,1,205.95783,2.8395782,0.0934829,0.0934829,0.06269517394
P8,geometry:color,4,206.06761,1.0487873,0.3830873,0.3830873,0.99545185185
Pz,geometry,1,207.4354,4.9039317,0.0278841,0.0278841,0.0434
Pz,geometry:color,4,207.79312,3.1261716,0.0159182,0.0159182,0.99545185185
T7,geometry,1,203.20782,0.6705678,0.4131066,0.4131066,0.99545185185
T7,geometry:color,4,203.3157,0.6325492,0.6398241,0.6398241,0.999230769231
T8,geometry,1,207.0755,0.4424336,0.7486236,0.7486236,0.0424941176471
T8,geometry:color,4,206.31248,2.4019518,0.0461952,0.0461952,0.484166666666
